"Name"
"Abbott, Jason"
"Walker, Kevin"
"Wall, Andrew"
"Wall, Craig"
"Wall, Owen"
"Wallace, Sean"
"Wallis, James"
"Walsh, Aaron"
"Walsh, Barry"
"Walsh, Cian"
"Walsh, Craig"
"Walsh, Darryl"
"Walsh, Davitt"
"Walsh, Dean"
"Walsh, Marc"
"Walsh, Mark"
"Walsh, Mark"
"Walsh, Martin"
"Walsh, Michael"
"Walsh, Niall"
"Walsh, Peter"
"Walsh, Robin"
"Walsh, Sean"
"Walsh, Stephen"
"Walshe, Joseph"
"Walsh-O'Loghlen, Colm"
"Walters, Jonathan"
"Wan, Emmet"
"Ward, Caolan"
"Ward, Cian"
"Ward, Keith"
"Ward, Sean"
"Ward, Stephen"
"Warde, Sam"
"Warren, Dave"
"Waters, Danny"
"Waters, Glenn"
"Waters, John"
"Waters, Kevin"
"Waters, Kieran"
"Waters, Marty"
"Waters, Rob"
"Watson, Aidan"
"Watters, Deane"
"Watts, Dylan"
"Waweru, Wilson"
"Weafer-Joyce, Shaun"
"Wearen, Eoin"
"Webster, David"
"Wells, Ben"
"Wells, Nathan"
"West, Nathan"
"Westwood, Keiren"
"Whelan, Brian"
"Whelan, Colm"
"Whelan, Corey"
"Whelan, Eric"
"Whelan, Evan"
"Whelan, Glenn"
"Whelan, Jack"
"Whelan, Matthew"
"Whelan, Mikey"
"Whelan, Ryan"
"Whelan, Sean"
"White, Adam"
"White, Aidan"
"White, Evan"
"White, Paul"
"Whittle, Conor"
"Whitty, Thomas"
"Wickham, Connor"
"Wilkinson, Conor"
"Williams, Alan"
"Williams, Carl"
"Williams, Dean"
"Williams, Derrick"
"Williams, Luke"
"Williams, Shaun"
"Williams, Stephen"
"Wilmot, Ben"
"Wilson, Aidan"
"Wilson, Callum"
"Wilson, John Ross"
"Wilson, Johnny"
"Wilson, Marc"
"Wilson, Ronan"
"Wilson, Tyreke"
"Wilson, Zac"
"Winchester, Carl"
"Winchester, Jude"
"Winn, Conor"
"Wiseman, Joe"
"Wiseman, John"
"Wixted, Adam"
"Wolfe, Mark"
"Wolfe, Robert"
"Wolohan, Nathan"
"Woods, James"
"Worthington, Charlie"
"Wright, Duncan"
"Wright, Tyreik"
"Wynne, Carl"
"Yadolahi, Alan"
"Yeates, Mark"
"Yelverton, Greg"
"Young, Declan"
"Young, Matthew"
"Young, Ronan"
"Zambra, Dean"
"Zayed, Eamon"
